questionId,questionText,questionUpvoteCount,answersCount,questionURL,referenceCount
117902,Find out which process is locking a file or folder in Windows,1044,12,https://superuser.com/questions/117902,1
147027,How can I sort the output of 'ls' by last modified date?,1604,10,https://superuser.com/questions/147027,1
149329,What is the cURL command-line syntax to do a POST request?,2380,7,https://superuser.com/questions/149329,1
203674,How to clear/flush the DNS cache in Google Chrome?,1025,17,https://superuser.com/questions/203674,1
209437,How do I scroll in tmux?,1737,13,https://superuser.com/questions/209437,1
231273,What are the Windows A: and B: drives used for?,991,19,https://superuser.com/questions/231273,1
272265,Getting curl to output HTTP status code?,1159,17,https://superuser.com/questions/272265,1
419070,Transatlantic ping faster than sending a pixel to the screen?,850,3,https://superuser.com/questions/419070,1
545329,"How do I make a machine ""blank screen"" for a period of time (as a penalty) if certain noise levels are reached?",1570,6,https://superuser.com/questions/545329,1
792607,Why does Windows think that my wireless keyboard is a toaster?,2123,3,https://superuser.com/questions/792607,1
